x,y0,y1,y2,y3,y4,y5
11847,966,-58,-4161,480,-1114,-475
11858,957,35,-4232,492,-1090,-424
11868,887,31,-4206,443,-1063,-325
11878,864,34,-4226,404,-1046,-242
11888,874,1,-4198,393,-1046,-188
11899,860,15,-4165,393,-1047,-167
11907,863,2,-4139,392,-1042,-166
11917,869,-99,-4153,395,-1026,-172
11927,886,-136,-4139,430,-1008,-193
11938,812,-216,-4127,482,-975,-237
11948,818,-266,-4085,539,-935,-316
11958,811,-335,-4065,617,-880,-426
11968,786,-388,-4042,713,-818,-584
11979,777,-460,-4006,811,-753,-794
11987,738,-524,-4015,930,-692,-1074
11997,725,-526,-4017,1072,-657,-1415
12007,791,-434,-4042,1234,-666,-1759
12017,816,-318,-4072,1376,-670,-2021
12028,857,-70,-4135,1443,-650,-2186
12038,850,144,-4205,1416,-586,-2177
12048,878,-172,-4074,1252,-519,-2052
12058,906,-159,-4185,1327,-491,-1974
12067,930,-136,-4208,1414,-469,-1939
12077,933,220,-4389,1373,-458,-1893
12087,893,-35,-4307,1100,-452,-1795
12097,972,-356,-4223,992,-517,-1797
12108,989,-418,-4227,1164,-651,-1994
12118,1020,-102,-4350,1429,-827,-2333
12128,1089,148,-4367,1471,-998,-2730
12138,1182,258,-4290,1389,-1125,-3102
12146,1299,311,-4151,1295,-1183,-3473
12157,1331,351,-4099,1251,-1183,-3774
12167,1346,301,-4053,1190,-1099,-3986
12177,1282,222,-4022,1106,-971,-4130
12187,1231,187,-4091,1026,-854,-4215
12198,1150,250,-4144,939,-781,-4245
12206,1150,253,-4224,831,-748,-4216
12218,1132,256,-4194,678,-731,-4166
12226,1123,205,-4182,497,-703,-4111
12237,1128,116,-4066,349,-652,-4060
12247,1144,20,-3936,303,-561,-4011
12257,1234,-95,-3807,373,-424,-3962
12267,1368,-134,-3687,560,-200,-3922
12278,1483,-73,-3660,812,121,-3892
12286,447,1943,-7719,1008,468,-3844
12296,-297,277,-3464,-1945,-81,-3286
12306,1771,-250,-4245,-2153,-407,-2369
12316,980,214,-4121,-2153,-262,-2056
12327,1039,138,-4037,-2461,-205,-1548
12337,952,291,-4056,-2836,-72,-1089
12347,899,-242,-5211,-3080,-223,-647
12357,1418,3526,-8333,-937,-1317,-807
12368,402,46,-3859,-887,-639,-394
12376,448,117,-4447,-380,-718,-178
12386,424,133,-4523,-231,-649,-153
12396,430,96,-4481,-73,-483,-79
12407,410,45,-4381,0,-313,-33
12417,432,44,-4284,26,-214,-11
12427,434,21,-4254,47,-190,-1
12437,412,41,-4204,61,-218,3
12445,430,30,-4211,86,-274,1
12456,406,12,-4244,104,-325,1
12466,419,12,-4280,106,-354,0
12476,417,11,-4311,84,-340,-5
12486,378,31,-4323,69,-305,-10
12497,377,17,-4319,77,-269,-8
12507,364,27,-4315,103,-234,-2
12517,368,30,-4286,135,-209,6
12525,391,16,-4328,161,-191,11
12536,341,2,-4327,163,-158,13
12546,374,-23,-4304,148,-128,11
12556,364,10,-4298,120,-99,6
12566,349,-5,-4313,74,-73,-1
12577,373,-4,-4300,41,-65,-5
12587,353,3,-4241,14,-67,-11
12597,327,9,-4272,2,-87,-13
12605,348,23,-4262,7,-103,-12
12615,323,22,-4294,16,-117,-12
12626,343,13,-4287,32,-131,-10
12636,330,6,-4286,48,-139,-8
12646,343,10,-4346,54,-143,-7
12656,330,3,-4323,52,-137,-4
12667,333,-13,-4291,51,-123,-10
12677,316,-17,-4305,44,-110,-7
12685,312,-4,-4309,36,-94,-5
12695,307,4,-4293,42,-78,-7
12706,308,16,-4299,47,-63,-5
12716,322,6,-4295,53,-54,-7
12726,302,-8,-4301,52,-42,-6
12736,325,21,-4306,52,-36,-7
12747,297,5,-4282,53,-21,-9
12757,319,2,-4293,50,-7,-10
12765,313,-3,-4282,49,6,-8
12775,304,-14,-4271,46,12,-13
12785,324,-4,-4266,44,10,-13
12796,329,5,-4291,45,16,-14
12806,330,0,-4272,38,23,-15
12816,313,14,-4271,40,29,-16
12824,334,3,-4307,40,33,-17
12837,321,-18,-4295,43,36,-16
12845,303,-2,-4302,39,38,-18
12855,342,-27,-4300,33,41,-18
12865,315,-8,-4290,28,44,-16
12876,324,-8,-4281,29,44,-18
12886,336,-2,-4294,33,46,-17
12896,330,-5,-4312,36,47,-19
12904,346,0,-4258,43,50,-17
12914,331,-10,-4268,50,59,-19
12925,335,-14,-4297,49,61,-21
12935,333,-7,-4322,44,71,-25
12945,343,-11,-4284,38,72,-27
12955,350,-1,-4294,30,74,-30
12966,336,-12,-4279,22,74,-38
12976,339,4,-4295,20,80,-41
12986,330,1,-4320,21,89,-42
12994,344,20,-4293,25,99,-44
13005,336,-17,-4291,32,112,-44
13015,345,-28,-4306,34,131,-54
13025,345,-38,-4294,33,162,-66
13035,359,-56,-4294,34,189,-96
13046,350,-85,-4315,34,216,-149
13056,387,-71,-4375,42,255,-210
13066,409,-84,-4377,48,329,-265
13074,424,-106,-4565,56,451,-330
13084,433,-13,-4654,76,721,-366
13095,448,-33,-4679,163,1106,-347
13105,470,-75,-4761,236,1490,-345
13115,510,-26,-4891,299,1898,-367
